date, close, rsRatio, rsMom
09-08-2021,6582.2,100.0,100.0
10-08-2021,6547.4,102.64575,102.64575
11-08-2021,6626.55,103.0231,101.8205
12-08-2021,6642.9,101.659035,99.72326
13-08-2021,6688.85,102.150955,100.40536
16-08-2021,6751.1,102.790245,101.11873
17-08-2021,6749.45,101.95716,99.88725
18-08-2021,6766.65,101.80085,99.69732
20-08-2021,6692.8,101.740585,99.652596
23-08-2021,6722.1,102.21707,100.32373
24-08-2021,6835.05,102.04794,100.06659
25-08-2021,6911.4,102.03844,100.048134
26-08-2021,6968.4,101.97309,99.955124
27-08-2021,6992.45,101.64007,99.50524
30-08-2021,7114.75,101.662056,99.53749
31-08-2021,7174.7,101.455505,98.48451
01-09-2021,7205.4,101.38267,98.51546
02-09-2021,7225.15,101.362526,98.46943
03-09-2021,7404.4,101.699455,99.53056
06-09-2021,7388.4,101.285995,98.47322
07-09-2021,7338.6,100.9392,97.15602
08-09-2021,7376.0,101.25288,98.793434
09-09-2021,7391.65,101.20858,98.82331
13-09-2021,7367.05,100.949524,98.26031
14-09-2021,7401.15,100.58788,97.435524
15-09-2021,7463.7,100.48326,97.66345
16-09-2021,7554.05,101.137794,99.657585
17-09-2021,7446.85,99.30329,94.6767
20-09-2021,7351.65,99.38179,97.18094
21-09-2021,7416.45,101.1321,100.34669
22-09-2021,7440.1,99.528275,98.064766
23-09-2021,7567.1,100.87098,100.184
24-09-2021,7525.7,98.69757,97.27785
27-09-2021,7624.55,95.35987,93.90948
28-09-2021,7726.1,99.61604,99.71114
29-09-2021,7777.45,100.89866,100.61475
30-09-2021,7774.4,101.523,101.05559
01-10-2021,7797.0,101.79886,101.20759
04-10-2021,7819.3,101.414345,100.88344
05-10-2021,8036.0,103.57303,102.16804
06-10-2021,8017.7,103.17152,101.55514
07-10-2021,7995.8,99.58733,99.565414
08-10-2021,8060.65,99.770775,99.64596
11-10-2021,8086.55,98.3393,98.897896
12-10-2021,8100.8,98.19813,98.96279
13-10-2021,8133.25,97.00918,98.470474
14-10-2021,8155.45,98.12935,99.19475
18-10-2021,8216.85,98.63931,99.44824
19-10-2021,8129.85,98.9203,99.37588
20-10-2021,7995.9,98.87352,99.38421
21-10-2021,7959.55,98.705826,99.375
22-10-2021,7928.1,99.08484,99.66735
25-10-2021,7891.05,99.61634,100.04715
26-10-2021,7988.05,99.46752,98.58184
27-10-2021,7926.7,99.48125,98.3606
28-10-2021,7755.3,98.985275,98.897675
29-10-2021,7704.3,98.43368,97.9972
01-11-2021,7783.8,98.22055,97.48321
02-11-2021,7720.5,96.747375,97.48213
03-11-2021,7716.95,98.35802,99.28482
04-11-2021,7758.35,97.838264,98.991005
