date, close, rsRatio, rsMom
16-07-2020,2070.65,100.0,100.0
17-07-2020,2103.0,97.35425,97.35425
20-07-2020,2106.0,97.07358,98.24831
21-07-2020,2118.6,96.93547,98.65114
22-07-2020,2113.95,100.023094,102.0537
23-07-2020,2131.4,98.82029,100.52596
24-07-2020,2087.5,97.629684,99.28068
27-07-2020,2094.4,99.30775,100.996956
28-07-2020,2141.3,98.094154,99.71144
29-07-2020,2160.75,101.3068,102.236946
30-07-2020,2135.15,100.31812,101.20108
31-07-2020,2147.3,101.188354,101.56114
03-08-2020,2156.15,101.99731,101.730835
04-08-2020,2177.35,101.13083,101.05488
05-08-2020,2263.8,103.57537,102.51933
06-08-2020,2294.75,103.588356,101.99247
07-08-2020,2314.35,102.526344,101.15619
10-08-2020,2332.0,101.8928,100.703384
11-08-2020,2370.65,102.359726,100.853035
12-08-2020,2354.8,100.67639,99.83425
13-08-2020,2380.65,100.52426,99.661705
14-08-2020,2405.8,102.18974,100.59269
17-08-2020,2464.25,101.79079,100.19322
18-08-2020,2507.5,101.95886,100.171326
19-08-2020,2513.15,101.743614,99.90426
20-08-2020,2538.9,102.17148,100.264206
21-08-2020,2523.6,101.4289,99.32315
24-08-2020,2526.1,101.21576,99.1349
25-08-2020,2507.5,100.51676,98.31367
26-08-2020,2527.8,100.06576,97.932274
27-08-2020,2531.05,99.507095,97.3525
28-08-2020,2520.35,99.707436,98.15298
31-08-2020,2420.6,99.254,97.97555
01-09-2020,2496.75,100.77143,99.85752
02-09-2020,2541.35,101.099815,100.18661
03-09-2020,2527.3,99.79481,98.80178
04-09-2020,2451.35,97.670876,96.71963
07-09-2020,2450.05,98.44239,98.28976
08-09-2020,2376.85,97.17637,97.51499
09-09-2020,2397.2,98.25707,98.80468
10-09-2020,2369.8,97.53084,98.37604
11-09-2020,2384.3,98.26329,99.158134
14-09-2020,2387.05,98.084785,99.128365
15-09-2020,2385.55,98.392914,99.50976
16-09-2020,2396.35,98.18335,99.41778
17-09-2020,2363.3,98.079704,99.40825
18-09-2020,2362.2,98.253876,99.655266
21-09-2020,2240.35,98.15674,99.62943
22-09-2020,2213.95,98.58966,100.21783
23-09-2020,2205.25,98.55843,100.615326
24-09-2020,2111.85,98.36298,100.63533
25-09-2020,2172.65,98.37517,100.562775
28-09-2020,2237.0,98.48812,100.88814
29-09-2020,2280.9,99.42623,115.25328
30-09-2020,2242.55,98.77563,103.129845
01-10-2020,2261.25,98.97743,102.557274
05-10-2020,2318.85,100.68411,101.022835
06-10-2020,2302.7,99.50439,100.90984
07-10-2020,2267.75,97.07643,99.98518
08-10-2020,2272.4,97.65133,99.1997
09-10-2020,2260.85,97.891594,100.153175
12-10-2020,2240.85,98.166405,98.09521
13-10-2020,2249.65,99.105576,99.498436
14-10-2020,2251.95,99.46727,99.17357
15-10-2020,2240.95,100.028336,99.047585
16-10-2020,2329.85,102.519424,101.13148
19-10-2020,2367.85,103.60159,100.154724
20-10-2020,2363.35,102.223755,99.246216
21-10-2020,2416.05,102.77463,100.406685
22-10-2020,2432.5,102.36469,100.67588
23-10-2020,2443.0,101.198296,99.55202
26-10-2020,2357.55,101.01002,100.89283
27-10-2020,2359.6,100.60847,100.720825
28-10-2020,2325.4,100.16297,98.895935
29-10-2020,2307.7,100.12331,99.22559
30-10-2020,2343.6,100.80202,99.73873
02-11-2020,2338.9,100.740036,99.70264
03-11-2020,2391.2,100.90799,99.440186
04-11-2020,2383.8,100.38198,99.59724
05-11-2020,2488.65,102.29926,101.75014
06-11-2020,2500.35,102.140884,102.46803
09-11-2020,2545.25,102.30663,102.58212
10-11-2020,2556.7,101.690865,101.96172
11-11-2020,2645.05,102.31728,101.95896
12-11-2020,2636.9,101.64346,101.51563
13-11-2020,2681.0,101.89724,100.49171
17-11-2020,2761.35,102.10973,100.38043
18-11-2020,2772.5,100.89151,100.400505
19-11-2020,2752.65,100.763176,101.67952
20-11-2020,2774.75,100.72215,100.8879
23-11-2020,2808.6,100.86592,101.84484
24-11-2020,2839.15,100.464836,100.47319
25-11-2020,2816.55,100.83268,101.362305
26-11-2020,2925.05,103.52978,103.6837
27-11-2020,2925.75,101.67411,101.04258
01-12-2020,2974.05,101.83521,100.76573
02-12-2020,3050.2,102.400795,101.359116
03-12-2020,3126.1,102.44018,101.29497
04-12-2020,3161.35,102.17349,100.777054
07-12-2020,3161.2,101.725105,100.4114
08-12-2020,3122.35,100.9741,99.277
09-12-2020,3105.9,100.67356,98.81573
10-12-2020,3113.05,101.104256,99.26135
11-12-2020,3146.1,101.51858,99.74728
14-12-2020,3189.5,102.52788,100.70503
15-12-2020,3214.15,102.12199,99.08934
16-12-2020,3271.75,102.26241,99.982216
17-12-2020,3227.7,101.604485,98.92386
18-12-2020,3216.6,101.286736,96.04884
21-12-2020,3038.25,100.68015,98.01888
22-12-2020,3079.65,100.83214,100.80694
23-12-2020,3134.1,100.94296,100.39469
24-12-2020,3144.3,100.7374,100.03654
28-12-2020,3224.85,101.48092,100.61395
29-12-2020,3189.85,100.81995,98.8831
30-12-2020,3230.9,100.6838,98.451744
31-12-2020,3254.65,100.954636,98.32775
01-01-2021,3258.85,100.16073,95.71738
04-01-2021,3424.6,105.90434,100.053375
05-01-2021,3376.25,101.64036,98.359406
06-01-2021,3419.8,102.907776,99.028564
07-01-2021,3550.45,104.57192,100.38235
08-01-2021,3529.2,100.88151,98.900795
11-01-2021,3493.9,99.10714,98.04275
12-01-2021,3509.9,98.70789,98.36607
13-01-2021,3523.25,98.540375,98.72671
14-01-2021,3487.4,98.1099,98.673515
15-01-2021,3449.15,98.16426,98.5061
18-01-2021,3308.5,97.780594,98.458755
19-01-2021,3405.2,98.53502,99.015884
20-01-2021,3437.0,98.36056,99.350655
21-01-2021,3362.15,98.06328,98.12752
22-01-2021,3231.45,97.24149,97.9969
25-01-2021,3236.35,98.056915,98.592155
27-01-2021,3154.8,98.32985,99.27533
28-01-2021,3138.1,98.647644,99.21883
29-01-2021,3077.45,98.91315,100.00082
01-02-2021,3227.25,99.14763,100.16409
02-02-2021,3289.1,98.80996,99.6585
03-02-2021,3344.4,99.09772,101.39288
04-02-2021,3409.55,99.42612,101.952644
05-02-2021,3443.15,100.21118,102.62353
08-02-2021,3552.45,100.39039,102.07322
09-02-2021,3513.65,100.6336,102.19174
10-02-2021,3510.85,100.45207,101.41609
11-02-2021,3546.7,101.57707,100.29545
12-02-2021,3486.25,100.87766,100.94314
15-02-2021,3469.95,100.21181,100.22975
16-02-2021,3570.15,102.08726,101.19252
17-02-2021,3576.05,101.68102,100.66456
18-02-2021,3623.05,103.171776,102.26596
19-02-2021,3552.1,102.668625,101.81375
22-02-2021,3609.1,103.79964,103.28183
23-02-2021,3749.55,103.71557,102.762436
24-02-2021,3778.65,102.6976,101.10882
25-02-2021,3928.6,102.80935,100.748215
26-02-2021,3822.65,102.20271,99.55331
01-03-2021,3896.95,101.696465,99.47463
02-03-2021,3927.6,101.032005,98.96549
03-03-2021,4058.6,101.57744,99.82302
04-03-2021,3976.85,101.07756,99.5806
05-03-2021,3869.4,100.63161,99.6591
08-03-2021,3900.8,100.714455,99.484375
09-03-2021,3802.7,100.13665,98.91561
10-03-2021,3873.65,100.22473,99.15754
12-03-2021,3840.2,100.34192,98.76743
15-03-2021,3880.05,100.954414,99.88878
16-03-2021,3847.25,100.263176,99.54172
17-03-2021,3752.7,99.67842,98.52505
18-03-2021,3754.35,99.70418,99.84778
19-03-2021,3832.5,101.15875,90.83396
22-03-2021,3867.45,102.30864,101.29115
23-03-2021,3841.95,101.06615,99.07393
24-03-2021,3717.55,100.41361,97.30634
25-03-2021,3718.3,102.89295,102.10203
26-03-2021,3855.3,103.81968,103.458374
30-03-2021,3963.0,103.47296,102.459496
31-03-2021,3977.2,102.550606,101.645546
01-04-2021,4189.15,103.29014,101.82967
05-04-2021,4226.4,103.3706,101.53453
06-04-2021,4286.95,102.6796,101.21661
07-04-2021,4325.45,101.91178,100.59794
08-04-2021,4494.95,102.25272,100.67349
09-04-2021,4467.3,101.78463,100.524704
12-04-2021,4196.0,101.34935,100.570564
13-04-2021,4337.9,101.03051,100.02419
15-04-2021,4397.45,101.33923,99.97127
16-04-2021,4434.0,101.11592,99.56683
19-04-2021,4366.1,101.278755,98.450775
20-04-2021,4384.4,101.03561,97.825195
22-04-2021,4460.9,101.34714,98.86701
23-04-2021,4446.85,101.30981,98.70152
26-04-2021,4536.3,101.92305,99.12765
27-04-2021,4659.25,102.72841,99.240555
28-04-2021,4645.05,101.3858,97.55931
29-04-2021,4855.3,103.455246,100.01245
30-04-2021,4847.95,102.96285,99.6941
03-05-2021,4952.45,102.7386,97.98404
04-05-2021,4921.65,102.14682,98.434944
05-05-2021,4970.15,101.82523,99.021576
06-05-2021,5095.0,101.71926,96.009415
07-05-2021,5335.85,102.45933,98.66622
10-05-2021,5503.35,102.281456,96.99669
11-05-2021,5452.65,101.63763,97.66265
12-05-2021,5290.45,100.83834,96.686386
14-05-2021,5091.35,100.38704,97.41747
17-05-2021,5207.75,100.34089,98.486855
18-05-2021,5294.4,99.871826,98.41261
