date, close, rsRatio, rsMom
16-07-2020,10382.3,100.0,100.0
17-07-2020,10472.2,97.35425,97.35425
20-07-2020,10304.6,97.065994,98.24276
21-07-2020,10153.8,97.13891,98.85131
22-07-2020,10175.2,98.72669,100.97939
23-07-2020,10322.2,99.036896,101.12737
24-07-2020,10238.0,99.37238,101.26867
27-07-2020,10062.0,98.77185,100.431595
28-07-2020,10128.0,97.97364,99.48453
29-07-2020,10441.2,100.12727,101.729866
30-07-2020,10766.0,101.66596,102.345726
31-07-2020,11148.9,102.363525,102.146416
03-08-2020,11128.4,101.94122,101.55324
04-08-2020,11317.0,101.637886,101.200806
05-08-2020,11263.8,100.998405,100.83949
06-08-2020,11403.7,101.24549,100.91911
07-08-2020,11333.0,100.76904,100.520905
10-08-2020,11941.4,101.8036,101.06862
11-08-2020,11772.2,101.13596,100.48868
12-08-2020,11590.2,100.11631,99.60526
13-08-2020,11478.0,99.49038,99.01686
14-08-2020,11640.4,100.46541,99.795395
17-08-2020,11595.3,99.53931,98.830666
18-08-2020,11581.7,98.72561,97.441154
19-08-2020,11537.9,98.30732,97.51957
20-08-2020,11540.9,98.63114,98.331955
21-08-2020,11614.9,98.96426,98.8329
24-08-2020,11572.2,98.88192,98.906654
25-08-2020,11500.0,98.5862,98.77735
26-08-2020,11484.5,98.17009,98.56738
27-08-2020,11588.0,98.42692,98.986145
28-08-2020,11622.9,99.06315,99.71116
31-08-2020,11079.8,98.53468,99.235435
01-09-2020,11339.5,99.44468,100.687614
02-09-2020,11404.2,99.230865,100.48065
03-09-2020,11511.8,99.333694,100.70055
04-09-2020,11281.5,98.347626,98.80576
07-09-2020,11269.8,98.83048,100.18045
08-09-2020,11093.2,98.42089,99.104355
09-09-2020,11304.1,99.97992,103.17608
10-09-2020,11303.4,99.63385,101.56598
11-09-2020,11313.3,99.70227,101.49142
14-09-2020,11233.3,97.48416,97.33667
15-09-2020,11450.5,100.469604,102.32052
16-09-2020,11688.5,101.13003,102.74009
17-09-2020,11736.0,101.94135,102.98811
18-09-2020,12320.9,107.07515,106.73814
21-09-2020,11799.5,103.05062,101.33405
22-09-2020,11876.8,103.39432,101.303955
23-09-2020,11685.9,101.80586,100.48019
24-09-2020,11334.6,101.688286,100.36181
25-09-2020,11595.9,101.10284,100.0253
28-09-2020,11796.6,100.57093,99.72045
29-09-2020,11709.5,100.147766,100.70363
30-09-2020,11772.8,100.32113,100.83443
01-10-2020,11822.9,100.12683,100.587875
05-10-2020,12024.0,100.67727,99.95295
06-10-2020,12009.5,99.97936,99.10691
07-10-2020,11915.0,98.7162,98.0424
08-10-2020,12209.2,99.7812,99.26625
09-10-2020,12044.0,98.787636,99.20761
12-10-2020,12154.5,100.07199,98.444084
13-10-2020,11937.1,99.280945,96.78747
14-10-2020,11857.2,99.047676,97.01567
15-10-2020,11637.9,98.59723,97.78592
16-10-2020,11814.1,99.86691,98.95834
19-10-2020,11616.7,99.35862,99.13791
20-10-2020,11644.4,99.33805,99.11018
21-10-2020,11645.7,99.64272,99.59418
22-10-2020,11545.3,98.91012,98.78967
23-10-2020,11503.0,95.51086,97.24116
26-10-2020,11334.2,98.47327,99.94385
27-10-2020,11511.5,98.94437,100.70005
28-10-2020,11325.1,97.84798,99.47233
29-10-2020,11226.0,98.299255,100.482056
30-10-2020,11243.8,99.38344,102.11223
02-11-2020,11175.3,99.30158,102.184494
03-11-2020,11361.0,99.5197,101.69223
04-11-2020,11608.7,100.73636,101.949265
05-11-2020,11705.0,100.454926,101.50943
06-11-2020,11623.3,99.8947,101.15779
09-11-2020,11674.3,99.70678,101.129974
10-11-2020,11168.9,95.1207,98.61594
11-11-2020,11570.3,98.23377,99.91033
12-11-2020,11600.8,98.45799,100.19716
13-11-2020,11726.5,99.03159,99.80447
17-11-2020,11690.8,98.24868,99.366585
18-11-2020,11613.0,96.7494,98.35378
19-11-2020,11566.6,97.78448,99.66175
20-11-2020,11526.8,97.90812,99.387184
23-11-2020,11737.2,98.63436,100.21669
24-11-2020,11880.8,98.69371,99.25649
25-11-2020,11635.2,98.76566,99.6359
26-11-2020,11801.2,99.21726,100.02251
27-11-2020,11839.2,98.97453,101.75822
01-12-2020,12045.2,99.31331,99.60737
02-12-2020,12088.6,99.02485,98.89313
03-12-2020,12207.0,98.84546,97.5896
04-12-2020,12353.6,99.253075,94.26712
07-12-2020,12556.0,100.2027,99.3189
08-12-2020,12407.3,99.696655,98.993546
09-12-2020,12443.9,100.48574,100.23888
10-12-2020,12440.6,102.169754,101.07296
11-12-2020,12366.0,101.08326,100.76872
14-12-2020,12459.9,103.77156,102.24519
15-12-2020,12432.6,101.597145,101.158516
16-12-2020,12547.5,101.30651,100.84662
17-12-2020,12602.4,102.16933,101.18784
18-12-2020,12762.3,103.071365,101.19502
21-12-2020,12278.2,102.8831,101.33799
22-12-2020,12551.0,102.96345,101.64953
23-12-2020,12753.2,102.348404,100.83557
24-12-2020,12909.0,102.26079,101.02804
28-12-2020,12874.3,101.312744,100.03811
29-12-2020,12843.9,101.13847,100.21565
30-12-2020,12823.9,100.36475,99.65424
31-12-2020,12915.9,100.44153,99.87564
01-01-2021,13002.0,100.24451,98.40351
04-01-2021,13149.8,99.878815,98.43618
05-01-2021,13166.3,99.8797,98.685234
06-01-2021,13118.1,99.73986,98.40809
07-01-2021,13060.8,98.67349,98.275
08-01-2021,13271.5,96.91052,99.84846
11-01-2021,13412.3,96.53962,97.24443
12-01-2021,13244.7,96.2626,97.40754
13-01-2021,13122.5,96.78553,98.848045
14-01-2021,13232.5,97.8445,99.395355
15-01-2021,13014.2,97.912025,98.74535
18-01-2021,12653.5,98.11534,99.124214
19-01-2021,12866.0,98.395775,99.29413
20-01-2021,12881.2,98.13412,98.23998
21-01-2021,12697.2,98.11962,98.64893
22-01-2021,12542.1,97.86941,99.07864
25-01-2021,12756.8,98.711365,100.066864
27-01-2021,12495.9,98.88227,104.65101
28-01-2021,12396.0,99.0447,101.01766
29-01-2021,12170.2,99.424095,101.03331
01-02-2021,12103.5,98.085205,99.95096
02-02-2021,12361.5,97.65429,100.114914
03-02-2021,12706.7,98.570435,101.5755
04-02-2021,12739.0,98.50025,100.67715
05-02-2021,12950.7,99.63907,101.20961
08-02-2021,12971.0,98.68547,100.09515
09-02-2021,12812.8,98.890884,100.12964
10-02-2021,12905.5,98.884926,100.03222
11-02-2021,12929.8,99.29755,99.88898
12-02-2021,12785.8,99.1005,99.78778
15-02-2021,12745.1,98.84919,99.16349
16-02-2021,12804.2,99.26545,99.68871
17-02-2021,12584.3,98.35899,98.9247
18-02-2021,12517.5,98.96429,99.31369
19-02-2021,12347.4,99.9312,99.44118
22-02-2021,12032.3,99.749306,99.7739
23-02-2021,12029.5,99.01068,97.54073
24-02-2021,12035.8,98.96834,95.38418
25-02-2021,12141.7,99.07522,98.320595
26-02-2021,11927.9,100.8166,97.57577
01-03-2021,12092.7,99.536385,98.83153
02-03-2021,12257.3,97.24124,97.23559
03-03-2021,12379.6,99.75473,99.12211
04-03-2021,12351.8,100.15243,98.89103
05-03-2021,12192.8,99.78818,98.90346
08-03-2021,12239.8,100.55861,99.55582
09-03-2021,12133.8,99.985435,99.687744
10-03-2021,12313.2,100.72816,100.48835
12-03-2021,12184.2,101.594124,102.299995
15-03-2021,12024.5,100.259026,101.094604
16-03-2021,12013.0,99.93027,101.69837
17-03-2021,11787.5,99.87539,101.38718
18-03-2021,11514.5,96.455475,98.35334
19-03-2021,11667.1,98.54706,100.5768
22-03-2021,11850.8,101.064354,102.55502
23-03-2021,11907.2,100.99106,102.025856
24-03-2021,11916.3,104.25497,104.66909
25-03-2021,11816.8,104.36274,103.661995
26-03-2021,11883.2,102.29878,101.93272
30-03-2021,12206.6,102.70615,101.82364
31-03-2021,12272.6,102.29371,101.24199
01-04-2021,12377.1,101.54318,100.53983
05-04-2021,12331.5,102.08569,100.58516
06-04-2021,12548.6,102.205124,100.47723
07-04-2021,12616.3,101.48034,100.077675
08-04-2021,12611.7,101.196526,99.9974
09-04-2021,12995.3,101.97505,100.175415
12-04-2021,12961.8,103.19696,100.64466
13-04-2021,12807.5,101.07862,98.89274
15-04-2021,12987.0,101.65999,98.99801
16-04-2021,13234.2,101.67136,98.707695
19-04-2021,13256.2,102.31346,99.04615
20-04-2021,13426.9,101.9322,99.8899
22-04-2021,13379.0,101.5134,100.02423
23-04-2021,13319.8,101.31908,99.010345
26-04-2021,13203.8,100.81022,98.5352
27-04-2021,13296.8,100.70384,97.24317
28-04-2021,13253.0,99.99657,98.15479
29-04-2021,13298.7,100.32342,98.5688
30-04-2021,13469.2,101.19332,99.53558
03-05-2021,13507.5,101.20753,99.22876
04-05-2021,13234.8,100.48472,98.87137
05-05-2021,13779.7,102.254944,101.23869
06-05-2021,13747.8,100.935905,99.15135
07-05-2021,13747.1,100.78897,100.10811
10-05-2021,14131.8,101.519165,100.243645
11-05-2021,14066.7,100.88328,98.47686
12-05-2021,14065.0,100.69471,98.62941
14-05-2021,13885.5,101.10875,100.28463
17-05-2021,13858.7,99.712456,98.42302
