date, close, rsRatio, rsMom
11-07-2025,22225.9,100.0,100.0
14-07-2025,22410.3,107.07107,107.07107
15-07-2025,22665.7,107.57147,110.18154
16-07-2025,22593.9,92.84636,107.27894
17-07-2025,22680.3,91.27479,103.58586
18-07-2025,22592.8,91.46304,99.42624
21-07-2025,22531.8,81.078186,83.33943
22-07-2025,22307.2,79.63252,77.974815
23-07-2025,22417.4,79.38267,77.075165
24-07-2025,22541.1,81.68137,77.7051
25-07-2025,22662.7,90.16099,80.37928
28-07-2025,22761.2,101.30004,83.7064
29-07-2025,23072.4,113.1165,89.00919
30-07-2025,23073.9,121.33954,99.16796
31-07-2025,22771.1,120.61771,110.63832
01-08-2025,22011.7,113.5811,115.93535
04-08-2025,22153.8,105.84548,116.99262
05-08-2025,21970.2,95.685814,114.7784
06-08-2025,21523.8,84.57736,109.65467
07-08-2025,21684.8,80.753975,102.41035
08-08-2025,21402.2,80.22526,91.3498
11-08-2025,21604.7,80.786316,80.645424
12-08-2025,21753.5,81.94845,75.76488
13-08-2025,22130.3,83.78082,75.198235
14-08-2025,22151.8,85.50704,76.48626
18-08-2025,22141.2,83.5881,77.820564
19-08-2025,22066.8,82.05344,79.02609
20-08-2025,21969.5,81.44661,80.22601
21-08-2025,22177.7,82.15138,81.654015
22-08-2025,22265.0,83.20987,83.033195
25-08-2025,22362.8,84.18081,84.27331
26-08-2025,21990.0,84.391,85.22285
28-08-2025,21808.3,84.75509,85.91009
29-08-2025,21804.1,85.779526,86.4211
01-09-2025,21778.8,85.1514,86.40063
02-09-2025,21719.9,85.00951,86.575745
03-09-2025,21959.6,85.30202,87.15914
04-09-2025,21915.4,85.00776,87.95472
05-09-2025,21924.8,84.03456,88.450066
08-09-2025,21865.2,81.88536,87.878
09-09-2025,22052.7,81.64239,86.648186
10-09-2025,22122.1,82.883736,85.76055
11-09-2025,22224.0,84.42462,85.49805
12-09-2025,22341.2,85.72757,85.493065
15-09-2025,22198.7,86.67684,86.36225
16-09-2025,22264.6,86.95655,87.509155
17-09-2025,22241.3,86.95532,88.54666
18-09-2025,22574.3,87.66798,90.48748
19-09-2025,22686.6,88.85623,94.52365
22-09-2025,22365.8,89.06811,102.09211
23-09-2025,22299.1,88.411804,111.57463
24-09-2025,22180.7,88.06391,119.31972
25-09-2025,21977.7,87.36266,122.20153
26-09-2025,21507.2,85.769485,121.31111
29-09-2025,21475.3,85.0345,119.47028
30-09-2025,21454.2,84.25557,117.83114
01-10-2025,21733.5,84.46577,116.69986
03-10-2025,21756.3,84.94996,115.669685
06-10-2025,21779.8,85.03037,114.53561
07-10-2025,21875.3,85.61281,113.68412
08-10-2025,21707.3,87.538376,113.429924
09-10-2025,21936.2,90.42398,113.67409
10-10-2025,22218.2,94.39471,114.454735
13-10-2025,22205.1,98.61192,115.71146
14-10-2025,22039.2,101.774536,116.86476
15-10-2025,22057.3,104.88728,117.68998
16-10-2025,22103.2,104.62677,117.765526
17-10-2025,22253.8,103.86006,117.363075
20-10-2025,22439.9,107.76854,116.96042
21-10-2025,22515.7,110.61408,116.54798
23-10-2025,22481.2,111.257385,115.94644
24-10-2025,22357.3,110.598305,115.10744
27-10-2025,22310.4,106.264984,113.93742
28-10-2025,22250.9,102.99444,112.65357
29-10-2025,22430.7,111.11383,111.73679
30-10-2025,22298.2,120.15494,111.11683
31-10-2025,22175.4,120.8797,110.9025
03-11-2025,22442.6,124.497894,111.34436
04-11-2025,22334.4,124.669334,112.184494
06-11-2025,22250.6,121.745804,113.09419
07-11-2025,22169.8,116.95943,113.71243
10-11-2025,22379.8,115.93228,114.42424
11-11-2025,22369.6,111.450775,114.88084
12-11-2025,22593.4,107.04447,114.68732
13-11-2025,22686.8,106.259735,113.50027
14-11-2025,22821.1,109.75431,112.41903
17-11-2025,22867.6,110.07616,111.45759
18-11-2025,22713.7,109.52148,109.78509
19-11-2025,22727.7,107.92256,107.00897
20-11-2025,22687.6,101.71508,102.62989
21-11-2025,22580.9,88.33409,96.22429
24-11-2025,22492.4,77.004585,86.50963
25-11-2025,22590.9,80.33317,80.36441
26-11-2025,22862.3,83.294174,79.98882
27-11-2025,22863.0,87.5661,81.53362
28-11-2025,22998.3,90.53359,82.566826
01-12-2025,22887.8,84.76696,82.8246
02-12-2025,22905.0,82.78483,83.00578
03-12-2025,22907.8,87.967995,83.941154
04-12-2025,22958.9,91.32015,85.388695
05-12-2025,22947.2,89.508484,86.76713
08-12-2025,22640.7,87.08615,88.03994
09-12-2025,22522.8,85.66904,88.95326
10-12-2025,22561.5,86.77507,89.866936
11-12-2025,22783.4,87.41907,90.39577
12-12-2025,22808.7,84.676476,90.21944
15-12-2025,22719.4,87.466446,91.483864
16-12-2025,22591.5,85.703705,93.2965
17-12-2025,22612.2,86.62248,94.073425
18-12-2025,22557.6,90.36726,94.63369
19-12-2025,22751.2,90.3223,96.94365
22-12-2025,22927.9,90.013725,105.01763
23-12-2025,22875.1,86.72819,115.05197
24-12-2025,22757.4,78.20427,111.7816
26-12-2025,22684.7,77.10744,102.22728
29-12-2025,22578.3,78.854454,95.77513
30-12-2025,22540.1,74.867325,77.15875
31-12-2025,22723.7,74.96485,71.46335
01-01-2026,22632.8,74.02734,70.52817
02-01-2026,22790.9,75.37469,71.48559
05-01-2026,22743.4,76.85332,73.14365
06-01-2026,23126.8,80.461205,75.4613
07-01-2026,23286.2,84.69088,78.15952
08-01-2026,22962.6,87.03484,80.620476
09-01-2026,22761.0,89.23405,82.79584
12-01-2026,22668.4,90.83215,84.63898
13-01-2026,22562.3,92.02875,86.60397
14-01-2026,22505.4,93.91537,88.86901
16-01-2026,22217.1,94.06779,91.62509
19-01-2026,22136.2,92.90999,94.95644
20-01-2026,21714.3,92.986786,99.83835
21-01-2026,21584.4,90.79182,105.82791
22-01-2026,21928.0,91.03165,112.38811
23-01-2026,21722.2,95.39205,117.63683
27-01-2026,21788.4,119.0244,119.483376
28-01-2026,21739.8,120.113106,118.75556
29-01-2026,21564.0,118.58445,117.49146
30-01-2026,21715.1,116.88427,116.12593
01-02-2026,21535.3,122.01017,115.64198
02-02-2026,21549.6,113.938705,115.13135
03-02-2026,22200.2,109.574684,114.56251
04-02-2026,22125.8,97.624985,113.59514
05-02-2026,22119.9,91.2935,112.31336
06-02-2026,21961.3,85.63659,110.57797
09-02-2026,22290.7,84.6089,107.86593
10-02-2026,22210.5,78.77913,103.45662
11-02-2026,22434.2,77.56521,96.65025
12-02-2026,22386.3,78.58428,87.47619
13-02-2026,22194.9,80.38303,79.380165
16-02-2026,22403.2,84.369064,78.13664
17-02-2026,22494.9,86.933784,79.601555
18-02-2026,22541.9,88.35933,81.97593
19-02-2026,22429.1,92.24754,84.77686
20-02-2026,22452.4,95.228584,87.57272
23-02-2026,22578.6,97.675674,90.087906
24-02-2026,22632.1,102.3292,93.52829
25-02-2026,23051.8,107.43432,98.24629
26-02-2026,23301.7,113.242424,104.94464
27-02-2026,22952.3,118.72881,113.48125
