date, close, rsRatio, rsMom
13-04-2026,11035.9,100.0,100.0
15-04-2026,11274.7,102.64575,102.64575
16-04-2026,11255.0,102.11238,100.99525
17-04-2026,11410.0,102.941696,101.65343
20-04-2026,11434.4,101.78553,99.81888
21-04-2026,11442.7,100.87991,98.72335
22-04-2026,11501.0,102.22022,100.62558
23-04-2026,11414.0,102.71472,101.12526
24-04-2026,11331.7,101.96897,100.070366
27-04-2026,11508.3,101.58416,99.580574
28-04-2026,11686.8,102.417206,100.661674
29-04-2026,11769.2,101.73232,97.48129
30-04-2026,11694.7,101.465355,98.19009
04-05-2026,11733.1,101.2384,97.957954
05-05-2026,11700.2,100.83737,98.459015
06-05-2026,11720.6,99.69375,98.4206
07-05-2026,11708.6,98.572815,97.14386
08-05-2026,11598.8,98.20276,97.433624
11-05-2026,11339.0,98.18679,98.28997
12-05-2026,11293.2,99.19999,99.14759
13-05-2026,11437.5,100.18726,99.3272
14-05-2026,11442.2,99.87054,99.59063
15-05-2026,11250.7,99.08432,99.44752
18-05-2026,11162.5,99.59772,99.95924
19-05-2026,11180.7,99.586845,100.33682
20-05-2026,11359.0,100.0545,102.167465
21-05-2026,11377.5,100.10995,102.83157
22-05-2026,11372.3,100.157524,102.51286
25-05-2026,11524.6,100.084946,101.93123
26-05-2026,11515.6,100.134796,101.13324
27-05-2026,11484.2,98.70394,99.8533
29-05-2026,11200.2,98.291855,99.71972
01-06-2026,11159.1,99.42207,100.66236
02-06-2026,11138.9,98.334366,99.53776
03-06-2026,11130.8,98.42156,99.532
04-06-2026,11159.4,98.66285,99.31224
05-06-2026,11106.2,98.30801,98.992134
08-06-2026,10931.7,98.79444,99.2458
09-06-2026,10965.3,98.100266,98.76929
10-06-2026,10803.0,97.8496,98.63835
11-06-2026,10779.1,98.156204,99.98949
12-06-2026,11012.3,98.54972,100.69673
15-06-2026,11180.6,97.87795,99.37648
16-06-2026,11294.6,99.202576,102.11798
17-06-2026,11304.0,99.94833,102.87889
18-06-2026,11303.7,99.93809,101.910866
19-06-2026,11169.8,99.42131,101.44882
22-06-2026,11273.0,100.05754,101.449844
23-06-2026,11171.3,100.00818,101.73292
24-06-2026,11241.6,101.519554,102.68642
25-06-2026,11143.3,97.375114,99.43611
29-06-2026,11012.0,99.01867,100.132286
30-06-2026,11030.2,99.05542,100.507256
01-07-2026,11084.2,98.38407,99.02789
02-07-2026,11132.5,97.73166,97.76699
03-07-2026,11136.2,98.61985,98.71101
06-07-2026,11261.1,98.5869,99.1544
07-07-2026,11248.9,98.629715,98.69985
08-07-2026,10998.5,98.82301,99.019485
09-07-2026,11032.8,99.414795,98.59309
10-07-2026,11177.5,100.06211,101.69607
13-07-2026,11176.5,99.70996,100.359726
14-07-2026,11102.4,100.776215,100.97345
15-07-2026,11178.8,101.24762,101.65782
