date, close, rsRatio, rsMom
13-04-2026,22100.1,100.0,100.0
15-04-2026,22435.7,97.35425,97.35425
16-04-2026,22465.0,103.05469,102.706696
17-04-2026,22497.2,101.65188,101.00251
20-04-2026,22456.8,98.37742,98.62486
21-04-2026,22438.4,97.40124,98.407555
22-04-2026,22455.4,100.54355,100.54412
23-04-2026,22986.3,103.44174,101.89717
24-04-2026,22580.1,101.89613,100.84955
27-04-2026,23171.8,101.964325,100.7802
28-04-2026,23158.2,101.9305,100.67941
29-04-2026,23260.8,101.347046,101.54668
30-04-2026,23267.7,101.40734,98.88191
04-05-2026,23475.6,101.377106,99.54559
05-05-2026,23568.9,101.285736,101.0513
06-05-2026,24110.3,101.06919,101.29139
07-05-2026,24135.5,100.221504,99.18741
08-05-2026,24110.3,100.20742,97.94283
11-05-2026,24170.4,101.05344,99.306885
12-05-2026,23840.9,101.416885,99.39381
13-05-2026,23896.1,102.18272,99.6471
14-05-2026,24551.1,104.091805,100.81763
15-05-2026,24634.8,102.771324,100.205086
18-05-2026,24762.8,103.28404,100.4864
19-05-2026,24867.4,102.39222,100.10574
20-05-2026,24843.2,101.558304,99.83685
21-05-2026,24890.9,101.29841,100.28471
22-05-2026,24573.9,100.67114,99.83393
25-05-2026,24674.7,100.16271,99.009186
26-05-2026,24659.2,100.04441,98.85107
27-05-2026,24716.0,99.54763,98.08457
29-05-2026,24345.8,99.55288,97.26386
01-06-2026,24214.2,99.867546,98.46797
02-06-2026,24006.3,98.85172,97.8798
03-06-2026,24086.6,98.91205,98.67192
04-06-2026,24177.9,99.01502,99.23939
05-06-2026,24248.1,99.23588,99.57295
08-06-2026,24147.7,100.12848,100.415436
09-06-2026,24290.3,99.80493,100.65465
10-06-2026,24160.8,100.12048,101.01465
11-06-2026,24306.9,101.03363,101.902016
12-06-2026,24380.1,99.50947,100.93382
15-06-2026,24220.1,95.29831,98.279945
16-06-2026,24157.8,97.27245,100.19371
17-06-2026,24146.6,98.33834,100.76522
18-06-2026,24282.2,98.86281,100.90922
19-06-2026,24460.3,99.8311,101.22088
22-06-2026,24762.9,100.41041,100.87703
23-06-2026,24989.9,101.48522,101.63923
24-06-2026,25018.9,101.62826,101.319176
25-06-2026,24969.5,100.02665,99.5607
29-06-2026,25227.9,101.811516,101.673645
30-06-2026,25326.4,101.69885,104.08719
01-07-2026,25182.7,100.64267,101.2497
02-07-2026,25308.9,100.281685,100.5008
03-07-2026,25745.2,101.37196,100.70753
06-07-2026,25866.2,100.793396,100.00894
07-07-2026,25677.7,100.33396,99.30682
08-07-2026,25429.8,100.95525,98.97296
09-07-2026,25656.2,101.61638,99.23555
10-07-2026,25674.1,101.05545,99.77344
13-07-2026,25643.3,100.453606,98.50791
14-07-2026,25907.1,102.99143,99.94821
15-07-2026,26003.6,102.19879,100.099976
