date,close,rs,rsRatio,rsMom
11-07-2025,22225.9,0.9460326,99.2,99.4
14-07-2025,22410.3,0.9515243,99.23838048,99.40512904
15-07-2025,22665.7,0.9481494,99.23847968,99.40958216
16-07-2025,22593.9,0.9409734,99.1662224,99.40379211
17-07-2025,22680.3,0.9449141,99.1591296,99.39783308
18-07-2025,22592.8,0.94553095,99.16062157,99.39285314
21-07-2025,22531.8,0.93667847,99.055416,99.37448899
22-07-2025,22307.2,0.9343016,98.9462712,99.34399804
23-07-2025,22417.4,0.93097836,98.8210064,99.30082862
24-07-2025,22541.1,0.9358085,98.78497696,99.2586035
25-07-2025,22662.7,0.952951,98.97622464,99.24756016
28-07-2025,22761.2,0.9606719,99.22821248,99.26652568
29-07-2025,23072.4,0.96584517,99.49646912,99.31878026
30-07-2025,23073.9,0.9717045,99.78695648,99.41256416
31-07-2025,22771.1,0.96260107,99.90202848,99.5101849
01-08-2025,22011.7,0.94023293,99.70029536,99.56761822
04-08-2025,22153.8,0.9313211,99.41785312,99.59377036
05-08-2025,21970.2,0.9201676,99.03793696,99.5802122
06-08-2025,21523.8,0.90631104,98.55316243,99.52026406
07-08-2025,21684.8,0.91081613,98.23003232,99.4297703
08-08-2025,21402.2,0.9117135,97.98682368,99.29332392
11-08-2025,21604.7,0.9106761,97.78445965,99.11471206
12-08-2025,21753.5,0.91184413,97.64401824,98.90599194
13-08-2025,22130.3,0.91740566,97.6184048,98.68384288
14-08-2025,22151.8,0.91844535,97.64493088,98.47989396
18-08-2025,22141.2,0.8811646,97.22099968,98.27299882
19-08-2025,22066.8,0.86683667,96.74725024,98.0672448
20-08-2025,21969.5,0.8625909,96.38174784,97.88949772
21-08-2025,22177.7,0.8739119,96.31161939,97.78946156
22-08-2025,22265,0.87901807,96.38413856,97.75514371
25-08-2025,22362.8,0.8796149,96.50761677,97.77438258
26-08-2025,21990,0.8684731,96.5066208,97.81794364
28-08-2025,21808.3,0.8659758,96.51017216,97.87498532
29-08-2025,21804.1,0.87353367,96.66079248,97.94830276
01-09-2025,21778.8,0.84874517,96.49455411,97.98573084
02-09-2025,21719.9,0.84893435,96.41495008,98.0644119
03-09-2025,21959.6,0.8519596,96.45107376,98.20191689
04-09-2025,21915.4,0.8430686,96.42754352,98.36795962
05-09-2025,21924.8,0.83299017,96.345396,98.51021096
08-09-2025,21865.2,0.80418694,95.92324048,98.56547736
09-09-2025,22052.7,0.811283,95.71773776,98.5682705
10-09-2025,22122.1,0.82440865,95.77539776,98.57874726
11-09-2025,22224,0.8309777,95.97015712,98.6140939
12-09-2025,22341.2,0.8315573,96.19919008,98.6555934
15-09-2025,22198.7,0.8295261,96.4214576,98.7448049
16-09-2025,22264.6,0.82016766,96.52366336,98.84710738
17-09-2025,22241.3,0.8148579,96.5859312,98.93935555
18-09-2025,22574.3,0.82601094,96.8642368,99.0607975
19-09-2025,22686.6,0.8334656,97.23989728,99.22907176
22-09-2025,22365.8,0.8236559,97.44256288,99.46178704
23-09-2025,22299.1,0.8161621,97.54148512,99.70606751
24-09-2025,22180.7,0.8212762,97.73224672,99.93604034
25-09-2025,21977.7,0.82133526,97.91251296,100.1328066
26-09-2025,21507.2,0.81206435,97.91434816,100.2713961
29-09-2025,21475.3,0.8123322,97.91902048,100.3610588
30-09-2025,21454.2,0.80830216,97.87713427,100.4187506
01-10-2025,21733.5,0.8118997,97.91929824,100.4658861
03-10-2025,21756.3,0.81322545,97.9977208,100.4788528
06-10-2025,21779.8,0.8109483,98.05052992,100.4454892
07-10-2025,21875.3,0.81219375,98.12540608,100.39897
08-10-2025,21707.3,0.8184516,98.28672512,100.3670328
09-10-2025,21936.2,0.82507235,98.53423408,100.3468446
10-10-2025,22218.2,0.8314821,98.85451219,100.348112
13-10-2025,22205.1,0.8317078,99.127088,100.3858492
14-10-2025,22039.2,0.8272787,99.2796576,100.438561
15-10-2025,22057.3,0.8258471,99.38374816,100.5040915
16-10-2025,22103.2,0.81716007,99.3389296,100.5490342
17-10-2025,22253.8,0.8172951,99.29620912,100.571434
20-10-2025,22439.9,0.8254394,99.37531616,100.5943109
21-10-2025,22515.7,0.8268771,99.44562912,100.6133857
23-10-2025,22481.2,0.82594377,99.47531373,100.6118749
24-10-2025,22357.3,0.8247279,99.46817728,100.5759119
27-10-2025,22310.4,0.8183189,99.35029792,100.4855971
28-10-2025,22250.9,0.81960565,99.26039296,100.3586683
29-10-2025,22430.7,0.8323419,99.37145728,100.2431009
30-10-2025,22298.2,0.83110446,99.44077229,100.1382935
31-10-2025,22175.4,0.8271378,99.442048,100.0536097
03-11-2025,22442.6,0.83610636,99.58217197,100.0046343
04-11-2025,22334.4,0.8393204,99.74125504,99.97282232
06-11-2025,22250.6,0.83565617,99.80887968,99.94485116
07-11-2025,22169.8,0.82786155,99.73005536,99.9061448
10-11-2025,22379.8,0.833208,99.72921216,99.87343723
11-11-2025,22369.6,0.823981,99.58233664,99.84126642
12-11-2025,22593.4,0.8220206,99.42936032,99.80499536
13-11-2025,22686.8,0.8285055,99.39776115,99.75450016
14-11-2025,22821.1,0.8377851,99.50390912,99.71565464
17-11-2025,22867.6,0.8323754,99.49319552,99.68038156
18-11-2025,22713.7,0.82993037,99.43304461,99.62314803
19-11-2025,22727.7,0.828438,99.36160672,99.54295112
20-11-2025,22687.6,0.8233868,99.22791984,99.44674782
21-11-2025,22580.9,0.8199965,99.06615341,99.35228402
24-11-2025,22492.4,0.8196282,98.93886592,99.25361362
25-11-2025,22590.9,0.8251269,98.9324576,99.18664287
26-11-2025,22862.3,0.8254611,98.94384179,99.15036684
27-11-2025,22863,0.8282586,98.9979296,99.13034172
28-11-2025,22998.3,0.82803357,99.04712685,99.10545792
01-12-2025,22887.8,0.8176259,98.9307216,99.06980314
02-12-2025,22905,0.81863505,98.84976448,99.03608666
03-12-2025,22907.8,0.82867765,98.93992736,99.02836328
04-12-2025,22958.9,0.8278639,99.01640659,99.0496647
05-12-2025,22947.2,0.82132924,98.9907872,99.0862936
08-12-2025,22640.7,0.8204103,98.96471744,99.13158521
09-12-2025,22522.8,0.82202405,98.97525744,99.17310558
10-12-2025,22561.5,0.8246705,99.02533856,99.2142711
11-12-2025,22783.4,0.8236651,99.04846605,99.24580078
12-12-2025,22808.7,0.81984335,99.00701632,99.2609891
15-12-2025,22719.4,0.8241192,99.04077408,99.29426822
16-12-2025,22591.5,0.8202504,99.01397024,99.33038024
17-12-2025,22612.2,0.82258487,99.03466336,99.35235758
18-12-2025,22557.6,0.8256234,99.10413312,99.37045434
19-12-2025,22751.2,0.822614,99.11034304,99.39039796
22-12-2025,22927.9,0.82222176,99.10532749,99.41051056
23-12-2025,22875.1,0.82012826,99.07716064,99.42275266
24-12-2025,22757.4,0.81609577,99.0014512,99.41652426
26-12-2025,22684.7,0.8177672,98.9667312,99.4033796
29-12-2025,22578.3,0.81827676,98.94724832,99.3949306
30-12-2025,22540.1,0.80818725,98.78398992,99.36124394
31-12-2025,22723.7,0.8061022,98.63006624,99.31502294
01-01-2026,22632.8,0.79467434,98.34562016,99.23414613
02-01-2026,22790.9,0.7912491,98.07606797,99.11877752
05-01-2026,22743.4,0.78712684,97.81752896,98.98339472
06-01-2026,23126.8,0.7996183,97.81821344,98.86680846
07-01-2026,23286.2,0.8115807,98.0249512,98.79715888
08-01-2026,22962.6,0.8081182,98.16852336,98.76603276
09-01-2026,22761,0.8103547,98.34364608,98.7671202
12-01-2026,22668.4,0.8092447,98.49272384,98.79061836
13-01-2026,22562.3,0.8082472,98.6197296,98.84983094
14-01-2026,22505.4,0.8118304,98.79337523,98.94513566
16-01-2026,22217.1,0.80507827,98.84882208,99.07359028
19-01-2026,22136.2,0.8010958,98.85193101,99.22195969
20-01-2026,21714.3,0.80578226,98.93403488,99.39697426
21-01-2026,21584.4,0.80325407,98.96728672,99.55306606
22-01-2026,21928,0.8088469,99.0711888,99.67410942
23-01-2026,21722.2,0.8103907,99.16424832,99.77199456
27-01-2026,21788.4,0.8205318,99.37192352,99.8609675
28-01-2026,21739.8,0.8130798,99.41408352,99.9234901
29-01-2026,21564,0.81203824,99.4330208,99.96298172
30-01-2026,21715.1,0.8117703,99.4407584,99.97477056
01-02-2026,21535.3,0.82224995,99.60497408,99.9995152
02-02-2026,21549.6,0.8056166,99.47941664,100.0037059
03-02-2026,22200.2,0.8072711,99.39885136,99.98547594
04-02-2026,22125.8,0.7951656,99.15057856,99.93195898
05-02-2026,22119.9,0.7995771,99.01396032,99.8533793
06-02-2026,21961.3,0.798024,98.87372128,99.75410256
09-02-2026,22290.7,0.8020718,98.82268288,99.6336397
10-02-2026,22210.5,0.78835565,98.57133389,99.49013095
11-02-2026,22434.2,0.78609747,98.34279296,99.33280162
12-02-2026,22386.3,0.78537124,98.16159424,99.17127066
13-02-2026,22194.9,0.78609705,98.05609504,98.99568056
16-02-2026,22403.2,0.79930925,98.19735584,98.87878616
17-02-2026,22494.9,0.79841065,98.32112768,98.80458008
18-02-2026,22541.9,0.79575753,98.4036224,98.78412754
19-02-2026,22429.1,0.80872214,98.70465472,98.82483582
20-02-2026,22452.4,0.80628294,98.92510688,98.9084173
23-02-2026,22578.6,0.8041671,99.08525536,99.00917908
24-02-2026,22632.1,0.80973524,99.2990512,99.15912895
25-02-2026,23051.8,0.809787,99.47332576,99.34361038
26-02-2026,23301.7,0.81209266,99.64589408,99.55152536
27-02-2026,22952.3,0.8151022,99.8297712,99.7710602
02-03-2026,22956.7,0.8335736,100.2404453,99.99733436
04-03-2026,22672.2,0.84386164,100.6966998,100.2379062
05-03-2026,23005.5,0.84063536,100.9718806,100.4720886
06-03-2026,22970.2,0.8483476,101.2618323,100.6724989
09-03-2026,22933.8,0.88322765,101.983185,100.91254
10-03-2026,23253.7,0.86862826,102.2818464,101.1384305
11-03-2026,23348.1,0.900567,102.9327532,101.3916281
12-03-2026,23275.2,0.9273727,103.7833872,101.7003247
13-03-2026,22832.2,0.9436704,104.6097926,102.0538309
16-03-2026,22547.2,0.91658634,104.7488264,102.3530348
17-03-2026,22597.6,0.89968985,104.4915165,102.5213588
18-03-2026,22632.6,0.8841273,103.9373853,102.5317063
19-03-2026,22101.7,0.9017458,103.6344225,102.4636223
20-03-2026,22540.7,0.91199183,103.4223042,102.3379062
23-03-2026,22053.1,0.9213822,103.285056,102.1153694
24-03-2026,22239.8,0.9071842,102.8770067,101.8304433
25-03-2026,22679.8,0.90507054,102.4226906,101.4407059
27-03-2026,22565.6,0.92664635,102.2737616,100.975828
30-03-2026,22232.2,0.93532073,102.219271,100.4628594
01-04-2026,22011.6,0.9081142,101.7207613,99.93802238
02-04-2026,21808.4,0.90529984,101.2460298,99.45463024
06-04-2026,21835.3,0.8967122,100.7437008,99.0401223
07-04-2026,21868.7,0.8972399,100.3690621,98.67050936
08-04-2026,21991.2,0.845721,99.35890848,98.2470594
09-04-2026,22135.4,0.85458595,98.66465728,97.80790026
10-04-2026,22164.8,0.8319839,97.78435648,97.36411902
13-04-2026,22100.1,0.847247,97.30393088,96.97320466
15-04-2026,22435.7,0.8471705,96.95313984,96.60729736
16-04-2026,22465,0.8515017,96.78492144,96.2750628
17-04-2026,22497.2,0.85103834,96.68985312,96.03624436
20-04-2026,22456.8,0.8467139,96.60322176,95.87698568
21-04-2026,22438.4,0.8427505,96.55569504,95.79576594
22-04-2026,22455.4,0.84896904,96.69744192,95.79151162
23-04-2026,22986.3,0.88997257,97.45663936,96.01889906
24-04-2026,22580.1,0.88021964,97.99820192,96.38018824
27-04-2026,23171.8,0.8894033,98.6170016,96.89568658
28-04-2026,23158.2,0.8979422,99.28474656,97.49939248
29-04-2026,23260.8,0.89170355,99.72110752,98.13117888
30-04-2026,23267.7,0.8977567,100.1450883,98.76048028
04-05-2026,23475.6,0.9019468,100.4998771,99.36799718
05-05-2026,23568.9,0.8998477,100.7174922,99.93671527
06-05-2026,24110.3,0.89886665,100.8340164,100.4524015
07-05-2026,24135.5,0.882794,100.6567818,100.8547429
08-05-2026,24110.3,0.88446355,100.492209,101.0735879
11-05-2026,24170.4,0.9034515,100.5748128,101.1989114
12-05-2026,23840.9,0.911956,100.6987334,101.2388205
13-05-2026,23896.1,0.9230249,100.8911953,101.208086
14-05-2026,24551.1,0.9424715,101.2911757,101.1756816
15-05-2026,24634.8,0.9449229,101.6017709,101.131707
18-05-2026,24762.8,0.9663796,102.1044669,101.1124135
19-05-2026,24867.4,0.96764827,102.4796958,101.115972
20-05-2026,24843.2,0.9586676,102.5968659,101.1188844
21-05-2026,24890.9,0.95785075,102.6203466,101.1482373
22-05-2026,24573.9,0.9445288,102.3995313,101.1666859
25-05-2026,24674.7,0.93241906,101.9981284,101.1186906
26-05-2026,24659.2,0.93122107,101.6009277,101.0082721
27-05-2026,24716,0.9200349,101.0578374,100.8157244
29-05-2026,24345.8,0.9243462,100.6107728,100.5379372
01-06-2026,24214.2,0.9352036,100.3489602,100.2227835
02-06-2026,24006.3,0.92050815,99.90401248,99.82745976
03-06-2026,24086.6,0.92311287,99.55765568,99.39256488
04-06-2026,24177.9,0.9247866,99.30082688,98.96777898
05-06-2026,24248.1,0.9267061,99.12493536,98.57397606
08-06-2026,24147.7,0.94026506,99.19235168,98.26901686
09-06-2026,24290.3,0.9333198,99.18677664,98.05451166
10-06-2026,24160.8,0.9352472,99.2331328,97.92504316
11-06-2026,24306.9,0.94248223,99.39174368,97.90320498
12-06-2026,24380.1,0.92721856,99.329828,97.93403886
15-06-2026,24220.1,0.8977889,98.89280736,97.93718984
16-06-2026,24157.8,0.89834005,98.55479328,97.95324294
17-06-2026,24146.6,0.9035413,98.35214752,97.98566324
18-06-2026,24282.2,0.9078679,98.25455456,98.03460184
19-06-2026,24460.3,0.9201378,98.36010931,98.11439022
22-06-2026,24762.9,0.9273313,98.54755168,98.19964958
23-06-2026,24989.9,0.9431397,98.91571264,98.32347812
24-06-2026,25018.9,0.9482495,99.28407696,98.47382062
25-06-2026,24969.5,0.92555726,99.28033811,98.58245488
29-06-2026,25227.9,0.95496565,99.68225584,98.73848306
30-06-2026,25326.4,0.95644224,100.0278538,98.97879846
01-07-2026,25182.7,0.9402424,100.0907466,99.2415067
02-07-2026,25308.9,0.9336253,100.0598557,99.49276008
03-07-2026,25745.2,0.95394635,100.2956243,99.75571284
06-07-2026,25866.2,0.94561285,100.331624,99.97392566
07-07-2026,25677.7,0.93907875,100.2277914,100.1233785
08-07-2026,25429.8,0.951237,100.2619856,100.2073069
09-07-2026,25656.2,0.96176,100.3856682,100.246719
10-07-2026,25674.1,0.9558203,100.3717702,100.279521
13-07-2026,25643.3,0.9504031,100.2595949,100.2390155
14-07-2026,25907.1,0.97587717,100.4888758,100.1882261
15-07-2026,26003.6,0.97592425,100.6592618,100.1584071
