date, close, rsRatio, rsMom
11-07-2025,11759.5,100.0,100.0
14-07-2025,11755.5,99.98126,99.9975
15-07-2025,11811.7,99.87654,99.98138
16-07-2025,11838.8,99.778015,99.95426
17-07-2025,11815.0,99.685265,99.918396
18-07-2025,11771.9,99.62321,99.879036
21-07-2025,11643.5,99.376854,99.81208
22-07-2025,11596.8,99.22787,99.734184
23-07-2025,11673.7,99.09167,99.64851
24-07-2025,11583.2,98.89254,99.547714
25-07-2025,11356.4,98.656586,99.4289
28-07-2025,11323.7,98.483444,99.3053
29-07-2025,11445.5,98.380196,99.198166
30-07-2025,11431.5,98.360954,99.115715
31-07-2025,11262.2,98.318306,99.05078
01-08-2025,11090.8,98.26603,98.995705
04-08-2025,11151.5,98.134254,98.96289
05-08-2025,11044.7,97.908165,98.92384
06-08-2025,11018.2,97.80256,98.893875
07-08-2025,10997.3,97.7136,98.88241
08-08-2025,10989.2,97.83765,98.92074
11-08-2025,11060.0,97.93016,98.98973
12-08-2025,11103.8,98.02733,99.076614
13-08-2025,11098.8,98.0041,99.15136
14-08-2025,10997.3,97.91069,99.20923
18-08-2025,11017.5,97.417114,99.19948
19-08-2025,11200.3,97.10494,99.16637
20-08-2025,11186.0,96.89285,99.13925
21-08-2025,11219.2,96.85606,99.124985
22-08-2025,11126.1,96.81109,99.1185
25-08-2025,11132.0,96.793106,99.09368
26-08-2025,10949.5,96.681496,99.04452
28-08-2025,10900.0,96.656906,98.98552
29-08-2025,10789.8,96.67866,98.94046
01-09-2025,10935.3,96.60424,98.90382
02-09-2025,11002.9,96.72596,98.955376
03-09-2025,11029.4,96.84556,99.059044
04-09-2025,10923.2,96.80433,99.172325
05-09-2025,10933.7,96.70882,99.26241
08-09-2025,10960.5,96.33088,99.29462
09-09-2025,10928.0,96.0452,99.285645
10-09-2025,10966.2,96.05903,99.295044
11-09-2025,11086.5,96.306915,99.34076
12-09-2025,11091.2,96.52733,99.40779
15-09-2025,11124.4,96.85564,99.52145
16-09-2025,11219.8,97.110054,99.6382
17-09-2025,11290.5,97.384605,99.76066
18-09-2025,11286.5,97.64566,99.90845
19-09-2025,11333.3,98.00108,100.09882
22-09-2025,11327.0,98.36416,100.36707
23-09-2025,11317.4,98.61979,100.675545
24-09-2025,11247.5,98.92184,100.98284
25-09-2025,11212.9,99.258995,101.2605
26-09-2025,11132.5,99.55505,101.51066
29-09-2025,11282.3,99.96104,101.73673
30-09-2025,11280.5,100.22016,101.93219
01-10-2025,11304.2,100.34101,102.07934
