Date,NIFTY 50,NIFTY AUTO,NIFTY MEDIA,NIFTY METALS,NIFTY IT,NIFTY RURAL
30_03_2026_10_10,22596.8,24108.4,1292.15,11262.5,29269.9,
30_03_2026_10_15,22556.3,24032.6,1286.55,11212.6,29209.9,
30_03_2026_10_20,22544.3,24030.9,1283.8,11187.5,29185.4,
30_03_2026_10_25,22534.8,23997.4,1280.95,11171.8,29190.8,
30_03_2026_10_30,22529.2,23975.7,1277.45,11154.6,29193.6,
30_03_2026_10_35,22538.3,23998.8,1280.35,11174.2,29234.4,
30_03_2026_10_40,22514.6,23959.4,1276.45,11154.5,29162.2,
30_03_2026_10_45,22527.3,23995.3,1276.15,11166.2,29180.4,
30_03_2026_10_50,22493.3,23932,1272.85,11150.8,29161.3,
30_03_2026_10_55,22490.2,23927.8,1271.8,11149.5,29190.1,
30_03_2026_11_00,22504.3,23935.6,1271.6,11161,29187.1,
30_03_2026_11_05,22472.3,23913.9,1270.85,11152.8,29148.5,
30_03_2026_11_10,22478.6,23909.6,1271.85,11155.5,29182.2,
30_03_2026_11_15,22481.3,23921.7,1272.2,11165.5,29228,
30_03_2026_11_20,22482.3,23928.6,1268.55,11168.1,29235.4,
30_03_2026_11_25,22468.2,23902.5,1268,11153,29224.6,
30_03_2026_11_30,22503.8,23929.2,1269.05,11186.5,29237.4,
30_03_2026_11_35,22516.2,23940.4,1270.25,11191.8,29302.5,
30_03_2026_11_40,22486.7,23916.8,1269,11189.2,29221.4,
30_03_2026_11_45,22464.6,23902.5,1272,11190.7,29191.4,
30_03_2026_11_50,22478.6,23915.6,1273,11208.6,29181.1,
30_03_2026_11_55,22484,23903.7,1273.2,11208.3,29216.2,
30_03_2026_12_00,22549.3,23978.4,1278.15,11244.1,29329.4,
30_03_2026_12_05,22558.3,23970.7,1276.25,11253.5,29328.2,
30_03_2026_12_10,22567.1,23974.7,1278.35,11295,29365.3,
30_03_2026_12_15,22555.3,23952.9,1277.7,11294.5,29360.2,
30_03_2026_12_20,22531.3,23909.7,1276.15,11289,29344.9,
30_03_2026_12_25,22519.2,23902.2,1276.75,11280.2,29335.8,
30_03_2026_12_30,22517.4,23899.6,1275.65,11267.6,29344.3,
30_03_2026_12_35,22565.6,23965.8,1279.45,11295.7,29362.9,
30_03_2026_12_40,22557.1,23967.9,1279.75,11302.8,29340.3,
30_03_2026_12_45,22530.6,23921.3,1279.15,11271.3,29293.8,
30_03_2026_12_50,22503.9,23903.6,1280.9,11253.8,29297.1,
30_03_2026_12_55,22505.8,23910.8,1281.7,11251.7,29275.5,
30_03_2026_13_00,22491.3,23900.8,1282.5,11237.2,29234.2,
30_03_2026_13_05,22495.8,23919.8,1281.55,11234.3,29250.3,
30_03_2026_13_10,22499.2,23926.2,1284.4,11233.1,29261.7,
30_03_2026_13_15,22484.9,23931.9,1285.4,11232.7,29211.1,
30_03_2026_13_20,22484.3,23941.9,1285.4,11235.4,29219.5,
30_03_2026_13_25,22476.4,23925,1284.9,11217,29244.7,
30_03_2026_13_30,22485.8,23991.2,1284.35,11227.2,29260.1,
30_03_2026_13_35,22493.7,24000.5,1285.25,11231.7,29254,
