Transcode,TimeStamp,MsgLen,IdxToken,OpenVal,CurrVal,HighVal,LowVal,PerChange,IntHighVal,IntLowVal,IntOpenVal,IntCloseVal,IndicativeCloseValue
8,1777542179,52,49,1965820,1963810,1971450,1946880,-53,1963925,1963280,1963590,1963810,0
8,1777542179,52,76,1488430,1466785,1488430,1458815,-152,1466905,1466210,1466400,1466785,1467515
8,1777542179,52,67,2298185,2291835,2307315,2271425,-55,2292105,2290385,2290570,2291835,2294170
8,1777542179,52,24,609300,605250,609405,602580,-91,605295,604995,605055,605250,605660
8,1777542179,52,5,6014890,5973025,6015645,5932300,-107,5973220,5970035,5970735,5973025,5980230
8,1777542179,52,45,344613,343310,344613,342465,-35,343310,343310,343310,343310,0
8,1777542179,52,89,4960665,4928510,4961240,4898885,-93,4928625,4925690,4926245,4928510,0
8,1777542179,52,129,4309890,4286610,4312175,4255570,-79,4286720,4284315,4284865,4286610,0
8,1777542179,52,62,1171480,1169690,1173105,1155490,-61,1169725,1168970,1169110,1169690,1169440
8,1777542179,52,84,125597,125596,125597,125596,2,125596,125596,125596,125596,0
8,1777542179,52,54,2016220,2004800,2016415,1989935,-86,2004850,2004075,2004495,2004800,2006855
8,1777542179,52,111,3108165,3082130,3113295,3063825,-98,3082490,3080625,3080815,3082130,3086655
8,1777542179,52,98,2424600,2415685,2425260,2395700,-77,2415755,2415065,2415585,2415685,0
8,1777542179,52,1,2928730,2933650,2954310,2901270,31,2933890,2932285,2932670,2933650,2935350
8,1777542179,52,21,2585545,2589675,2603400,2544155,-72,2589935,2588690,2588940,2589675,2591035
8,1777542179,52,35,21895,21915,22075,21815,85,21925,21915,21925,21915,0
8,1777542179,52,126,3109605,3087960,3110025,3068640,-96,3088065,3086665,3087110,3087960,0
8,1777542179,52,16,1071105,1062845,1071130,1055115,-89,1062950,1062210,1062305,1062845,1063130
8,1777542179,52,92,2228635,2218390,2229345,2201070,-68,2218460,2217565,2218025,2218390,0
8,1777542179,52,26,1141520,1140980,1145305,1128630,-96,1141075,1140700,1140910,1140980,1141615
8,1777542179,52,72,2204395,2197800,2204395,2197800,204,2197800,2197800,2197800,2197800,2153845
8,1777542179,52,116,852505,852875,856980,844145,10,852950,852135,852250,852875,853340
8,1777542179,52,73,2005825,2000000,2005825,2000000,202,2000000,2000000,2000000,2000000,1960440
8,1777542179,52,50,5124095,5082650,5125460,5051100,-113,5083065,5080045,5080785,5082650,0
8,1777542179,52,101,2491705,2469740,2494670,2460115,-106,2470145,2469035,2470075,2469740,0
8,1777542179,52,74,2516650,2499515,2517895,2482455,-125,2499665,2497855,2498350,2499515,0
8,1777542179,52,29,724235,724675,728070,718625,-83,724735,724155,724250,724675,725435
8,1777542179,52,102,981875,980050,984940,973040,-81,980115,979505,979650,980050,0
8,1777542179,52,68,776820,775575,779965,769915,-47,775605,775215,775270,775575,776295
8,1777542179,52,47,3233725,3223900,3238505,3198660,-87,3224040,3222730,3222985,3223900,0
8,1777542179,52,85,900315,894555,901595,884155,-74,894715,893490,894200,894555,896160
8,1777542179,52,10,941015,941250,944810,931230,-86,941300,940620,940725,941250,941365
8,1777542179,52,125,2217840,2214690,2222060,2196320,-34,2214725,2213765,2214220,2214690,0
8,1777542179,52,13,5172345,5105695,5182910,5068010,-138,5106345,5104865,5105735,5105695,5107205
8,1777542179,52,34,17895,17910,18045,17830,84,17920,17910,17920,17910,0
8,1777542179,52,118,1534110,1528665,1536060,1516295,-94,1528800,1528210,1528405,1528665,1529760
8,1777542179,52,99,2124495,2125610,2132150,2090115,-86,2125700,2124165,2124315,2125610,0
8,1777542179,52,127,883205,873075,883205,864995,-114,873710,872715,872735,873075,0
8,1777542179,52,79,1441685,1440625,1445665,1425175,-70,1440675,1439975,1440105,1440625,1441250
8,1777542179,52,61,3781280,3724705,3781280,3703815,-164,3726060,3723365,3726060,3724705,3729590
8,1777542179,52,82,142716,142717,142717,142716,1,142717,142717,142717,142717,0
8,1777542179,52,105,1568645,1550325,1568645,1544435,-153,1550385,1549575,1549590,1550325,0
8,1777542179,52,128,971330,967705,972155,959075,-62,967720,967450,967575,967705,0
8,1777542179,52,132,121730,120890,121990,119940,-132,120895,120815,120845,120890,121080
8,1777542179,52,2,7012770,6957225,7016525,6905700,-135,6957720,6954860,6955195,6957225,6964870
8,1777542179,52,39,2624040,2623240,2640670,2604805,-106,2623705,2620635,2621665,2623240,2626890
8,1777542179,52,46,304633,303876,304634,303178,-22,303898,303876,303898,303876,0
8,1777542179,52,107,4181055,4154185,4183460,4129490,-90,4154230,4151970,4152365,4154185,0
8,1777542179,52,121,434840,433755,435640,430365,-58,433770,433640,433740,433755,434025
8,1777542179,52,133,2856465,2843660,2859765,2813175,-15,2844185,2843140,2843795,2843660,2847810
8,1777542179,52,112,1195730,1187385,1196005,1178690,-140,1187465,1187010,1187090,1187385,1188585
8,1777542179,52,19,1807350,1799405,1809775,1781650,-55,1799745,1799100,1799745,1799405,1801235
8,1777542179,52,15,2319195,2326265,2337510,2305485,1,2326920,2325595,2326920,2326265,2328220
8,1777542179,52,23,1305600,1282140,1305610,1281025,-221,1282205,1281905,1282160,1282140,1284615
8,1777542179,52,20,1373550,1369220,1375360,1359445,-96,1369280,1368620,1368715,1369220,1370490
8,1777542179,52,22,145905,145505,146735,143910,-58,145540,145430,145465,145505,145575
8,1777542179,52,93,2000490,2001595,2009225,1983165,-31,2001630,2000700,2000975,2001595,0
8,1777542179,52,7,2492720,2487135,2498480,2468815,-94,2487300,2486035,2486230,2487135,2489285
8,1777542179,52,51,2213000,2198115,2213275,2183490,-104,2198200,2197110,2197370,2198115,2200590
8,1777542179,52,83,129535,129535,129535,129535,1,129535,129535,129535,129535,0
8,1777542179,52,41,260230,259452,260232,258922,-28,259486,259452,259486,259452,0
8,1777542179,52,11,174375,185800,194800,171850,655,186175,185775,186075,185800,0
8,1777542179,52,48,3372715,3353925,3375475,3329550,-111,3354000,3352685,3352775,3353925,0
8,1777542179,52,90,4436830,4400220,4442630,4370405,-90,4400285,4398425,4399180,4400220,0
8,1777542179,52,25,1029995,1023240,1030040,1015715,-116,1023265,1022870,1022945,1023240,1023805
8,1777542179,52,87,526060,523095,528435,519480,-117,523145,522950,523055,523095,523880
8,1777542179,52,55,2021900,2014595,2023925,1998240,-52,2014595,2013845,2013945,2014595,0
8,1777542179,52,63,1593785,1587850,1594460,1576080,-85,1587890,1587310,1587525,1587850,1589310
8,1777542179,52,113,213000,212665,213625,210750,-36,212675,212620,212625,212665,212845
8,1777542179,52,120,2358780,2356530,2364850,2318875,-105,2356730,2355190,2355385,2356530,2356810
8,1777542179,52,114,2127390,2120080,2130485,2099350,-89,2120310,2119025,2119405,2120080,2122925
8,1777542179,52,30,752205,745625,752205,740025,-69,745730,745085,745195,745625,745665
8,1777542179,52,33,1205915,1203735,1215030,1185665,-169,1203755,1202480,1202535,1203735,0
8,1777542179,52,38,1597620,1592550,1600670,1579075,-78,1592620,1591460,1591655,1592550,1594385
8,1777542179,52,91,870090,870840,875725,864845,-67,870890,870205,870330,870840,0
8,1777542179,52,42,86828,86567,86829,86390,-30,86579,86567,86579,86567,0
8,1777542179,52,117,1496555,1484210,1498240,1471250,-137,1484250,1483765,1484130,1484210,1485285
8,1777542179,52,8,1695955,1686855,1696235,1674190,-94,1686910,1685910,1686130,1686855,1688735
8,1777542179,52,131,1392290,1388920,1392750,1377090,-10,1389265,1388920,1389265,1388920,1388540
8,1777542179,52,66,1279070,1274890,1280280,1265605,-90,1274945,1274405,1274495,1274890,1276060
8,1777542179,52,56,2803560,2791845,2807090,2776275,-121,2792120,2790125,2790600,2791845,0
8,1777542179,52,53,1677740,1671760,1680720,1656635,-52,1672125,1671400,1672125,1671760,1673145
8,1777542179,52,115,1784105,1769990,1784250,1755480,-112,1770025,1769095,1769750,1769990,1771315
8,1777542179,52,94,299045,299390,300950,295180,-33,299395,299260,299275,299390,0
8,1777542179,52,109,870125,868740,872925,861720,-77,868765,868305,868405,868740,0
8,1777542179,52,86,735325,732880,736625,720840,-103,732880,732245,732630,732880,733075
8,1777542179,52,6,2273680,2266210,2275900,2249800,-91,2266300,2265350,2265530,2266210,2268275
8,1777542179,52,44,323366,322753,323366,321871,-17,322794,322753,322794,322753,0
8,1777542179,52,96,1097045,1092045,1098125,1080165,-115,1092055,1091635,1091895,1092045,0
8,1777542179,52,134,195975,194455,196895,193075,-66,194635,194450,194625,194455,194760
8,1777542179,52,78,1604705,1601080,1608250,1583180,-61,1601080,1600555,1600885,1601080,1602520
8,1777542179,52,88,5181560,5172625,5198610,5121615,-81,5172910,5169735,5170510,5172625,0
8,1777542179,52,104,487700,486370,488580,482640,-96,486385,486160,486190,486370,0
8,1777542179,52,75,6145975,6108595,6146220,6068740,-102,6108965,6104710,6105550,6108595,0
8,1777542179,52,0,2399695,2397395,2408745,2379685,-84,2397565,2396305,2396380,2397395,2399345
8,1777542179,52,95,410020,406610,410160,403715,-135,406630,406460,406465,406610,0
8,1777542179,52,36,1226165,1224785,1230470,1219090,-65,1224935,1224105,1224460,1224785,1225930
8,1777542179,52,17,855640,847090,855640,841525,-182,847200,846505,846680,847090,848495
8,1777542179,52,81,157150,157101,157150,157101,-1,157101,157101,157101,157101,0
8,1777542179,52,106,1421845,1414990,1422040,1403780,-78,1415035,1414530,1414755,1414990,0
8,1777542179,52,110,1487925,1474150,1487925,1459720,-135,1474275,1473760,1474160,1474150,1475345
8,1777542179,52,138,1459250,1449245,1460350,1438440,-98,1449385,1448720,1448800,1449245,1450305
8,1777542179,52,37,557150,555430,558075,550220,-48,555435,555200,555280,555430,0
8,1777542179,52,119,785805,779285,785870,773275,-93,779310,779070,779130,779285,779740
8,1777542179,52,58,3017875,3013435,3029425,2983040,-91,3013725,3011635,3012165,3013435,0
8,1777542179,52,124,1953615,1939035,1953720,1928155,-94,1939055,1938260,1938375,1939035,0
8,1777542179,52,137,323375,320660,323465,318560,-123,320750,320515,320620,320660,320840
8,1777542179,52,103,1774575,1762765,1775485,1749730,-146,1762905,1761775,1761915,1762765,0
8,1777542179,52,57,2572830,2569260,2577835,2546515,-68,2569440,2568425,2568900,2569260,0
8,1777542179,52,70,2338055,2324170,2338685,2310155,-83,2324195,2323320,2323685,2324170,0
8,1777542179,52,31,1094230,1094555,1098425,1080930,-43,1094610,1094280,1094500,1094555,1094865
8,1777542179,52,100,1633325,1630345,1636485,1616320,-49,1630380,1629820,1630055,1630345,0
8,1777542179,52,60,1480875,1491305,1499065,1478740,-19,1491795,1490905,1491795,1491305,1492715
8,1777542179,52,108,1673760,1654745,1673765,1649325,-142,1654830,1654115,1654245,1654745,0
8,1777542179,52,64,1624055,1616695,1624780,1605670,-99,1616755,1616020,1616125,1616695,1618305
8,1777542179,52,122,1768480,1761055,1768905,1747935,-83,1761095,1760475,1760785,1761055,1762710
8,1777542179,52,77,4485705,4496195,4526350,4465035,-15,4497640,4495280,4497375,4496195,4501130
8,1777542179,52,4,5488065,5477140,5511160,5444025,-114,5477850,5472460,5474015,5477140,5485675
8,1777542179,52,59,400405,400130,402015,396665,-91,400145,399945,399980,400130,0
8,1777542179,52,136,1889800,1899430,1910650,1886410,-25,1900355,1899105,1900355,1899430,1901380
8,1777542179,52,27,2571760,2561490,2576740,2549145,-115,2561850,2559680,2560100,2561490,2565365
8,1777542179,52,123,684535,681565,684880,677145,-69,681565,681375,681510,681565,682145
8,1777542179,52,97,3807890,3793285,3810245,3751180,-116,3793550,3791465,3791710,3793285,0
8,1777542179,52,12,4088335,4075220,4089890,4038545,-51,4075305,4072785,4073110,4075220,4076365
8,1777542179,52,69,484305,482945,485135,479270,-96,482960,482735,482770,482945,0
8,1777542179,52,32,1809560,1806285,1823230,1779170,-169,1806315,1804405,1804480,1806285,0
8,1777542179,52,9,80290,79290,80415,78595,-158,79300,79265,79285,79290,79415
8,1777542179,52,28,553,553,553,553,0,553,553,553,553,0
8,1777542179,52,71,1560725,1553975,1561520,1539045,-87,1553990,1553505,1553715,1553975,0
8,1777542179,52,135,1198665,1193565,1199030,1181225,-96,1193630,1192925,1192970,1193565,1193950
8,1777542179,52,40,296658,295798,296660,295251,-27,295821,295798,295821,295798,0
8,1777542179,52,18,3019775,3020825,3037445,3003525,-86,3021120,3018990,3019410,3020825,3024030
8,1777542179,52,52,882215,877900,883370,869590,-61,878295,877860,878295,877900,879050
8,1777542179,52,130,153485,153130,153785,151935,-86,153135,153065,153075,153130,153255
8,1777542179,52,43,324343,323586,324345,323306,-21,323586,323586,323586,323586,0
8,1777542179,52,14,3210435,3187645,3211370,3162275,-94,3187665,3186785,3187210,3187645,3189440
8,1777542179,52,65,1386505,1381580,1388535,1368860,-84,1381595,1380695,1380740,1381580,1382910
