Transcode,TimeStamp,MsgLen,IdxToken,OpenVal,CurrVal,HighVal,LowVal,PerChange,IntHighVal,IntLowVal,IntOpenVal,IntCloseVal,IndicativeCloseValue
8,1777542059,52,49,1965820,1963520,1971450,1946880,-54,1963600,1963155,1963600,1963520,0
8,1777542059,52,76,1488430,1466590,1488430,1458815,-153,1466795,1466105,1466795,1466590,1467735
8,1777542059,52,67,2298185,2292895,2307315,2271425,-51,2293505,2292895,2293420,2292895,2295020
8,1777542059,52,24,609300,605195,609405,602580,-92,605380,605105,605380,605195,605765
8,1777542059,52,5,6014890,5970930,6015645,5932300,-111,5973330,5970315,5973330,5970930,5981805
8,1777542059,52,45,344613,343310,344613,342465,-35,343310,343283,343283,343310,0
8,1777542059,52,89,4960665,4926375,4961240,4898885,-97,4928620,4925770,4928265,4926375,0
8,1777542059,52,129,4309890,4284850,4312175,4255570,-83,4286965,4284350,4286950,4284850,0
8,1777542059,52,62,1171480,1169350,1173105,1155490,-64,1169500,1169070,1169265,1169350,1169465
8,1777542059,52,84,125597,125596,125597,125596,2,125596,125596,125596,125596,0
8,1777542059,52,54,2016220,2004490,2016415,1989935,-88,2005095,2004365,2005095,2004490,2007230
8,1777542059,52,111,3108165,3081305,3113295,3063825,-101,3083560,3081025,3083560,3081305,3087645
8,1777542059,52,98,2424600,2415410,2425260,2395700,-78,2415675,2415070,2415675,2415410,0
8,1777542059,52,1,2928730,2933635,2954310,2901270,31,2933670,2931620,2932710,2933635,2935835
8,1777542059,52,21,2585545,2588740,2603400,2544155,-76,2589660,2588080,2589660,2588740,2591410
8,1777542059,52,35,21895,21920,22075,21815,87,21925,21920,21920,21920,0
8,1777542059,52,126,3109605,3087360,3110025,3068640,-98,3088620,3087015,3088455,3087360,0
8,1777542059,52,16,1071105,1062155,1071130,1055115,-95,1062645,1062030,1062645,1062155,1063270
8,1777542059,52,92,2228635,2217555,2229345,2201070,-72,2218050,2217270,2218050,2217555,0
8,1777542059,52,26,1141520,1140775,1145305,1128630,-97,1140835,1140560,1140835,1140775,1141770
8,1777542059,52,72,2204395,2197800,2204395,2197800,204,2197800,2197800,2197800,2197800,2153845
8,1777542059,52,116,852505,852275,856980,844145,3,852350,852015,852350,852275,853410
8,1777542059,52,73,2005825,2000000,2005825,2000000,202,2000000,2000000,2000000,2000000,1960440
8,1777542059,52,50,5124095,5081595,5125460,5051100,-116,5084615,5081090,5084335,5081595,0
8,1777542059,52,101,2491705,2469290,2494670,2460115,-108,2470120,2469100,2469580,2469290,0
8,1777542059,52,74,2516650,2498690,2517895,2482455,-128,2500425,2498345,2500335,2498690,0
8,1777542059,52,29,724235,724660,728070,718625,-84,724775,724505,724725,724660,725605
8,1777542059,52,102,981875,980100,984940,973040,-81,980100,979755,979970,980100,0
8,1777542059,52,68,776820,775395,779965,769915,-49,775435,775290,775435,775395,776420
8,1777542059,52,47,3233725,3223020,3238505,3198660,-90,3223665,3222580,3223605,3223020,0
8,1777542059,52,85,900315,894695,901595,884155,-73,895165,894560,895105,894695,896670
8,1777542059,52,10,941015,940970,944810,931230,-89,940970,940580,940815,940970,941415
8,1777542059,52,125,2217840,2213935,2222060,2196320,-38,2214435,2213695,2214435,2213935,0
8,1777542059,52,13,5172345,5104710,5182910,5068010,-140,5105290,5102640,5103775,5104710,5107825
8,1777542059,52,34,17895,17915,18045,17830,87,17920,17915,17915,17915,0
8,1777542059,52,118,1534110,1528640,1536060,1516295,-95,1528820,1528320,1528820,1528640,1529985
8,1777542059,52,99,2124495,2123850,2132150,2090115,-94,2124345,2123465,2124055,2123850,0
8,1777542059,52,127,883205,873380,883205,864995,-111,874125,873070,873195,873380,0
8,1777542059,52,79,1441685,1440285,1445665,1425175,-73,1440285,1439870,1440195,1440285,1441390
8,1777542059,52,61,3781280,3724095,3781280,3703815,-166,3725740,3723155,3725595,3724095,3730235
8,1777542059,52,82,142716,142717,142717,142716,1,142717,142717,142717,142717,0
8,1777542059,52,105,1568645,1549750,1568645,1544435,-156,1550815,1549660,1550815,1549750,0
8,1777542059,52,128,971330,967505,972155,959075,-64,967505,967100,967425,967505,0
8,1777542059,52,132,121730,120835,121990,119940,-136,120905,120825,120905,120835,121115
8,1777542059,52,2,7012770,6955620,7016525,6905700,-137,6958935,6955110,6958935,6955620,6966450
