Transcode,TimeStamp,MsgLen,IdxToken,OpenVal,CurrVal,HighVal,LowVal,PerChange,IntHighVal,IntLowVal,IntOpenVal,IntCloseVal,IndicativeCloseValue
8,1777542119,52,49,1965820,1963590,1971450,1946880,-54,1963690,1963410,1963515,1963590,0
8,1777542119,52,76,1488430,1466375,1488430,1458815,-155,1466605,1466175,1466595,1466375,1467585
8,1777542119,52,67,2298185,2290575,2307315,2271425,-61,2292885,2290555,2292860,2290575,2294610
8,1777542119,52,24,609300,605075,609405,602580,-94,605200,604995,605200,605075,605710
8,1777542119,52,5,6014890,5970740,6015645,5932300,-111,5971200,5970155,5970965,5970740,5980870
8,1777542119,52,45,344613,343310,344613,342465,-35,343310,343310,343310,343310,0
8,1777542119,52,89,4960665,4926245,4961240,4898885,-97,4926540,4925750,4926350,4926245,0
8,1777542119,52,129,4309890,4284865,4312175,4255570,-83,4285350,4284490,4284755,4284865,0
8,1777542119,52,62,1171480,1169030,1173105,1155490,-67,1169495,1168780,1169445,1169030,1169440
8,1777542119,52,84,125597,125596,125597,125596,2,125596,125596,125596,125596,0
8,1777542119,52,54,2016220,2004390,2016415,1989935,-88,2004585,2004230,2004585,2004390,2007020
8,1777542119,52,111,3108165,3080830,3113295,3063825,-102,3081330,3080445,3081330,3080830,3087095
8,1777542119,52,98,2424600,2415585,2425260,2395700,-77,2415630,2415250,2415385,2415585,0
8,1777542119,52,1,2928730,2932615,2954310,2901270,28,2933595,2932040,2933535,2932615,2935595
8,1777542119,52,21,2585545,2588870,2603400,2544155,-76,2588990,2588165,2588835,2588870,2591210
8,1777542119,52,35,21895,21925,22075,21815,90,21925,21920,21920,21925,0
8,1777542119,52,126,3109605,3087110,3110025,3068640,-98,3087570,3086860,3087355,3087110,0
8,1777542119,52,16,1071105,1062315,1071130,1055115,-94,1062350,1062035,1062185,1062315,1063180
8,1777542119,52,92,2228635,2218025,2229345,2201070,-70,2218030,2217440,2217585,2218025,0
8,1777542119,52,26,1141520,1140880,1145305,1128630,-96,1140920,1140650,1140800,1140880,1141705
8,1777542119,52,72,2204395,2197800,2204395,2197800,204,2197800,2197800,2197800,2197800,2153845
8,1777542119,52,116,852505,852295,856980,844145,3,852485,852140,852340,852295,853330
8,1777542119,52,73,2005825,2000000,2005825,2000000,202,2000000,2000000,2000000,2000000,1960440
8,1777542119,52,50,5124095,5080785,5125460,5051100,-117,5081600,5080330,5081595,5080785,0
8,1777542119,52,101,2491705,2470075,2494670,2460115,-105,2470300,2469310,2469310,2470075,0
8,1777542119,52,74,2516650,2498350,2517895,2482455,-130,2498700,2497980,2498575,2498350,0
8,1777542119,52,29,724235,724255,728070,718625,-89,724645,724230,724645,724255,725510
8,1777542119,52,102,981875,979650,984940,973040,-85,980045,979580,980015,979650,0
8,1777542119,52,68,776820,775280,779965,769915,-51,775390,775205,775390,775280,776350
8,1777542119,52,47,3233725,3222985,3238505,3198660,-90,3223105,3222780,3222975,3222985,0
8,1777542119,52,85,900315,894185,901595,884155,-78,894720,894155,894700,894185,896460
8,1777542119,52,10,941015,940660,944810,931230,-92,940975,940660,940965,940660,941350
8,1777542119,52,125,2217840,2214220,2222060,2196320,-36,2214220,2213830,2213895,2214220,0
8,1777542119,52,13,5172345,5105915,5182910,5068010,-138,5106350,5104055,5105000,5105915,5107680
8,1777542119,52,34,17895,17920,18045,17830,90,17920,17915,17915,17920,0
8,1777542119,52,118,1534110,1528400,1536060,1516295,-96,1528655,1528155,1528655,1528400,1529865
8,1777542119,52,99,2124495,2124315,2132150,2090115,-92,2124395,2123745,2123875,2124315,0
8,1777542119,52,127,883205,872735,883205,864995,-118,874225,872735,873380,872735,0
8,1777542119,52,79,1441685,1439985,1445665,1425175,-75,1440285,1439985,1440285,1439985,1441270
8,1777542119,52,61,3781280,3725910,3781280,3703815,-161,3726125,3723450,3724090,3725910,3729930
8,1777542119,52,82,142716,142717,142717,142716,1,142717,142717,142717,142717,0
8,1777542119,52,105,1568645,1549590,1568645,1544435,-157,1549815,1549530,1549705,1549590,0
8,1777542119,52,128,971330,967575,972155,959075,-63,967600,967420,967525,967575,0
8,1777542119,52,132,121730,120850,121990,119940,-135,120860,120805,120835,120850,121100
8,1777542119,52,2,7012770,6954990,7016525,6905700,-138,6956120,6954850,6955755,6954990,6965690
