Transcode,TimeStamp,MsgLen,IdxToken,OpenVal,CurrVal,HighVal,LowVal,PerChange,IntHighVal,IntLowVal,IntOpenVal,IntCloseVal,IndicativeCloseValue
8,1777542239,52,63,1593785,1587990,1594460,1576080,-84,1588010,1587605,1587965,1587990,1589215
8,1777542239,52,113,213000,212695,213625,210750,-35,212695,212640,212675,212695,212830
8,1777542239,52,120,2358780,2357255,2364850,2318875,-102,2357255,2355930,2356675,2357255,2356750
8,1777542239,52,114,2127390,2119940,2130485,2099350,-89,2120265,2119570,2120265,2119940,2122740
8,1777542239,52,30,752205,745555,752205,740025,-70,745665,745450,745645,745555,745660
8,1777542239,52,33,1205915,1204380,1215030,1185665,-163,1204380,1203350,1203585,1204380,0
8,1777542239,52,38,1597620,1592275,1600670,1579075,-80,1592675,1591935,1592675,1592275,1594225
8,1777542239,52,91,870090,871070,875725,864845,-64,871130,870665,870755,871070,0
8,1777542239,52,42,86828,86547,86829,86390,-32,86567,86547,86567,86547,0
8,1777542239,52,117,1496555,1484060,1498240,1471250,-138,1484250,1483735,1484250,1484060,1485210
8,1777542239,52,8,1695955,1686535,1696235,1674190,-96,1686950,1686235,1686950,1686535,1688595
8,1777542239,52,131,1392290,1388910,1392750,1377090,-10,1389065,1388810,1388920,1388910,1388665
8,1777542239,52,66,1279070,1275040,1280280,1265605,-89,1275060,1274695,1274955,1275040,1275980
8,1777542239,52,56,2803560,2791785,2807090,2776275,-122,2791905,2791160,2791785,2791785,0
8,1777542239,52,53,1677740,1671985,1680720,1656635,-50,1672040,1671580,1672040,1671985,1673060
8,1777542239,52,115,1784105,1769460,1784250,1755480,-115,1770020,1769040,1770020,1769460,1771175
8,1777542239,52,94,299045,299395,300950,295180,-33,299410,299325,299400,299395,0
8,1777542239,52,109,870125,868910,872925,861720,-75,868915,868580,868695,868910,0
8,1777542239,52,86,735325,732710,736625,720840,-105,732805,732295,732805,732710,733075
8,1777542239,52,6,2273680,2266465,2275900,2249800,-90,2266500,2265855,2266330,2266465,2268140
8,1777542239,52,44,323366,322743,323366,321871,-17,322753,322743,322753,322743,0
8,1777542239,52,96,1097045,1091905,1098125,1080165,-117,1092030,1091675,1092030,1091905,0
8,1777542239,52,134,195975,194485,196895,193075,-65,194555,194420,194465,194485,194735
8,1777542239,52,78,1604705,1601155,1608250,1583180,-61,1601185,1600740,1601185,1601155,1602440
8,1777542239,52,88,5181560,5171730,5198610,5121615,-83,5172285,5170370,5172285,5171730,0
8,1777542239,52,104,487700,486345,488580,482640,-96,486355,486250,486355,486345,0
8,1777542239,52,75,6145975,6106585,6146220,6068740,-106,6108685,6105200,6108685,6106585,0
8,1777542239,52,0,2399695,2398065,2408745,2379685,-81,2398180,2397160,2397525,2398065,2399235
8,1777542239,52,95,410020,406615,410160,403715,-135,406615,406485,406615,406615,0
8,1777542239,52,36,1226165,1224970,1230470,1219090,-64,1225170,1224735,1224860,1224970,1225870
8,1777542239,52,17,855640,847315,855640,841525,-179,847400,847060,847140,847315,848425
8,1777542239,52,81,157150,157101,157150,157101,-1,157101,157101,157101,157101,0
8,1777542239,52,106,1421845,1415005,1422040,1403780,-78,1415035,1414730,1414975,1415005,0
